accion,ruta,tipo_catalogo,tipo_en_disco,destino
BORRADO,Ordenanzas Descargadas\1-600\cisnes_atribuciones_esenciales__Navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\cisnes_decreto_3702_aprueba_enmienda_al_plan_regulador_de_pto_cisnes_y_ordena_publicaci__view.pdf,HTML,HTML,
BORRADO,Ordenanzas ordenadas\OCR ok\cisnes_decreto_3702_aprueba_enmienda_al_plan_regulador_de_pto_cisnes_y_ordena_publicaci__view.pdf,HTML,HTML,
BORRADO,descargas\cisnes\busqueda_global\decreto_3702_aprueba_enmienda_al_plan_regulador_de_pto_cisnes_y_ordena_publicaci__view.pdf,HTML,HTML,
BORRADO,descargas\cochamo\busqueda_global\atribuciones_esenciales__navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\cochamo_atribuciones_esenciales__navegar.pdf,HTML,HTML,
BORRADO,descargas\cochrane\busqueda_global\atribuciones_esenciales__navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\cochrane_atribuciones_esenciales__navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\codegua_decreto_deja_sin_efecto_decreto_alcaldicio_n_122018_dom_de_fecha_26_de_febrero_d__So0Rp2.pdf,HTML,HTML,
BORRADO,descargas\codegua\busqueda_global\decreto_deja_sin_efecto_decreto_alcaldicio_n_122018_dom_de_fecha_26_de_febrero_d__So0Rp2.pdf,HTML,HTML,
BORRADO,descargas\coelemu\busqueda_global\atribuciones_esenciales__1jwta.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\coelemu_atribuciones_esenciales__1jwta.pdf,HTML,HTML,
BORRADO,descargas\coihueco\busqueda_global\funciones_privativas__Navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\coihueco_funciones_privativas__Navegar.pdf,HTML,HTML,
BORRADO,descargas\coinco\busqueda_global\atribuciones_esenciales__Navegar.pdf,HTML,HTML,
BORRADO,Ordenanzas Descargadas\1-600\coinco_atribuciones_esenciales__Navegar.pdf,HTML,HTML,
RESCATADO,Ordenanzas Descargadas\1-600\coinco_plan_desarrollo_comunal_y_plan_regulador_de_la_comuna_de_coinco_actualizado__ccf78f87-0cd2-450a-a6c6-35f0e0ef1093.pdf,IMAGEN,IMAGEN,_recuperables_no_pdf\coinco_plan_desarrollo_comunal_y_plan_regulador_de_la_comuna_de_coinco_actualizado__ccf78f87-0cd2-450a-a6c6-35f0e0ef1093.jpg
